sku,product_name,category_id,category_name,category_path
10000828,"Накопитель SSD Pioneer 120GB 2.5"" SATA APS-SL3N-120 R/W(520/400)",16309373,Внутренние твердотельные накопители (SSD),Все товары / Компьютерная техника / Комплектующие / Внутренние твердотельные накопители (SSD)
10001007,Холодильник LG GA-B509CESL бежевый (двухкамерный),70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10001399,"Перфоратор, SDS-Plus HiKOKI DH24PH2NSZ",61604517,Перфораторы сетевые,Все товары / Строительство и ремонт / Инструменты / Электроинструменты / Перфораторы / Перфораторы сетевые
10001411,Перфоратор MAKITA акк hr140dwaj,61603789,Перфораторы аккумуляторные,Все товары / Строительство и ремонт / Инструменты / Электроинструменты / Перфораторы / Перфораторы аккумуляторные
10002156,Холодильник Nordfrost NRT 141 332 белый (двухкамерный),70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10003408,"Накопитель SSD HPE 1x480Gb SATA P18432-B21 Hot Swapp 2.5""",16309373,Внутренние твердотельные накопители (SSD),Все товары / Компьютерная техника / Комплектующие / Внутренние твердотельные накопители (SSD)
10003864,"Кабель HDMI 19M/M ver. 2.0 black red, 1.5m VCOM <CG525-R-1.5>",91074,"Кабели, разъемы, переходники для компьютеров и электроники","Все товары / Компьютерная техника / Аксессуары / Кабели, разъемы, переходники"
10003873,"Телевизор SKYLINE 32"" 32U5020 ЖК",90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10003874,"Телевизор SKYLINE 40"" 40LST5970 ЖК",90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10004037,"Холодильник DON R-290 BE, бежевый мрамор",70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10004538,"Наушники 1MORE E1025-Green вставные ( затычки) с микрофоном,20 - 20000 Гц,98 дБ,32 Ом,5 мВт,mini jack 3.5 mm",90555,Наушники и гарнитуры,Все товары / Электроника / Портативная техника / Наушники и гарнитуры
10004899,"МОНИТОР 27"" Acer Gaming Nitro XZ272UPbmiiphx Black Сurved (LED, Wide, 2560x1440, 144Hz, 4ms, 178°/178°, 270 cd/m, 100,00",91052,Мониторы,Все товары / Компьютерная техника / Периферийные устройства / Мониторы
10004922,"Кулер CPU DEEPCOOL GAMMAXX 300B (универсальный, 130W, 18-21 dB, 900-1600 rpm, 120мм, 4pin, медь+ алюминий, синяя подсвет",818965,Кулеры и системы охлаждения для компьютеров,Все товары / Компьютерная техника / Комплектующие / Кулеры и системы охлаждения
10004923,"Кулер CPU DEEPCOOL GAMMAXX GTE V2 (универсальный, 180W, 27.8dB, 500-1650 rpm, 120мм, 4pin, медь+ алюминий, подсветка) RT",818965,Кулеры и системы охлаждения для компьютеров,Все товары / Компьютерная техника / Комплектующие / Кулеры и системы охлаждения
10005309,Холодильник Hisense RQ515N4AD1,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10005622,"Мобильный телефон F+ S286 Silver, 2.4'' 2 Sim",60512327,Кнопочные телефоны,Все товары / Электроника / Телефоны / Кнопочные телефоны
10005623,"Мобильный телефон F+ S286 Dark Grey, 2.4'', 32MB RAM, 32MB, up to 16GB flash, 0,3Mpix, 2 Sim, Micro-USB, 1000mAh, 134,8 ммx67 ммx9,5 мм",60512327,Кнопочные телефоны,Все товары / Электроника / Телефоны / Кнопочные телефоны
10005646,"МОНИТОР 27"" BenQ EW2780U Metallic Brown-Black (4K, IPS, 3840x2160, HDR, 5 ms, 178°/178°, 350 cd/m, 20M:1, +2xHDMI 2.0, +",91052,Мониторы,Все товары / Компьютерная техника / Периферийные устройства / Мониторы
10005740,Холодильник LG GA-B419SQUL,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10005957,Морозильная камера LIEBHERR GN 4135,15450084,Морозильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Морозильники"
10005959,Морозильная камера LIEBHERR GN 4635,15450084,Морозильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Морозильники"
10006090,Холодильник Бирюса M 109 (без НТО),70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10006136,Чайник Kitfort КТ-694-1 белый,70239164,Чайники электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Электрочайники и термопоты / Чайники электрические
10006143,Чайник Kitfort КТ-692-2 бежевый,70239164,Чайники электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Электрочайники и термопоты / Чайники электрические
10006149,Блендер Kitfort КТ-1379,70362130,Блендеры стационарные,Все товары / Бытовая техника / Мелкая техника для кухни / Измельчение и смешивание / Блендеры / Блендеры стационарные
10006445,Чайник электрический Kitfort KT-690 1.7л. 2200Вт прозрачный (корпус: стекло),70239164,Чайники электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Электрочайники и термопоты / Чайники электрические
10006615,"Флеш Диск 16GB Mirex Corner Key, USB 2.0",70045509,USB-флеш-накопители,Все товары / Компьютерная техника / Накопители / USB флэш / USB-флеш-накопители
10006617,"Флеш Диск 16GB Mirex Round Key, USB 2.0",70045509,USB-флеш-накопители,Все товары / Компьютерная техника / Накопители / USB флэш / USB-флеш-накопители
10006630,"Флеш Диск 8GB Mirex Round Key, USB 2.0",70045509,USB-флеш-накопители,Все товары / Компьютерная техника / Накопители / USB флэш / USB-флеш-накопители
10006652,Флеш карта SD 64GB Silicon Power Superior SDXC Class 10 UHS-I U3 V30 100/80 Mb/s,91032,Карты флэш-памяти,Все товары / Компьютерная техника / Накопители / Карты памяти
10006846,"Телевизор LG 32'' 32LT661H, Hotel TV, HD, LED/IP-RF/HD/ S-IPS/Quad Core/Pro:Centric/DVB-T2/C/S2/Acc clock/RS-232C/240nit",90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10007100,"Блок питания FSP QDION QD650-PNR 80+ <650W, (20+4+4+4) pin, 2x(6+2) pin, 5xSATA, 4xMolex, FDD, 12 см, 80 Plus, Active PF",857707,Блоки питания для компьютеров,Все товары / Компьютерная техника / Комплектующие / Блоки питания
10007228,"Холодильник LIEBHERR CBNef 5735 BluPerformance Comfort BioFresh, 70 см, No Frost",70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10007229,"Холодильник LIEBHERR CN 5735 BluPerformance Comfort, 70 см, No Frost",70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10007230,"Холодильник LIEBHERR CNef 5735 BluPerformance Comfort, 70 см, No Frost",70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10007323,Вентилятор бытовой напольный Rix RSF-4002W,90565,Вентиляторы бытовые,Все товары / Бытовая техника / Климатическая техника / Вентиляторы
10007324,Вентилятор бытовой настольный Rix RDF-1500B,90565,Вентиляторы бытовые,Все товары / Бытовая техника / Климатическая техника / Вентиляторы
10007325,Вентилятор бытовой настольный Rix RDF-1500W,90565,Вентиляторы бытовые,Все товары / Бытовая техника / Климатическая техника / Вентиляторы
10007704,Машинка для стрижки ENERGY EN-709,70337102,Машинки для стрижки,Все товары / Бытовая техника / Техника для красоты / Машинки для стрижки и триммеры / Машинки для стрижки
10007748,Мини печь ARTEL MD 4816 бело-черная,997520,Мини-печи,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление блюд / Мини-печи
10008407,Кресло игровое Бюрократ VIKING 3 AERO RUS белый/синий/красный черный искусст.кожа/ткань,10785222,Компьютерные кресла,Все товары / Товары для дома / Мебель / Столы и стулья / Компьютерные кресла
10008520,Вентилятор Напольный Sencor SFN 4070WH,90565,Вентиляторы бытовые,Все товары / Бытовая техника / Климатическая техника / Вентиляторы
10008521,Напольный вентилятор Sencor SFN 5200WH,90565,Вентиляторы бытовые,Все товары / Бытовая техника / Климатическая техника / Вентиляторы
10008523,Вентилятор Напольный Sencor SFN 4031BK,90565,Вентиляторы бытовые,Все товары / Бытовая техника / Климатическая техника / Вентиляторы
10008575,"Монитор Samsung 27"" S27R650FDI темно-серый IPS LED 16:9 HDMI матовая HAS Pivot 1000:1 250cd 178гр/178гр 1920x1080 D-Sub DisplayPort FHD USB 8.6кг",91052,Мониторы,Все товары / Компьютерная техника / Периферийные устройства / Мониторы
10009410,Холодильник Atlant 1602-100,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10009411,Холодильник HISENSE RR220D4AG2,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10011389,Вакуумный упаковщик Solis Vac Prestige,70496770,Упаковщики вакуумные бытовые,Все товары / Бытовая техника / Мелкая техника для кухни / Прочая техника / Упаковщики вакуумные бытовые
10014032,Телевизор BQ 32S04B Black,90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10014393,"LED43"" Prestigio PTV43SS04Y_CIS_ML Жидкокристаллический телевизор",90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10014640,"Флеш Диск 8GB Mirex Snake, USB 2.0, Зеленый",70045509,USB-флеш-накопители,Все товары / Компьютерная техника / Накопители / USB флэш / USB-флеш-накопители
10014642,"Флеш накопитель 8GB Mirex Monkey, USB 2.0, Коричневый",70045509,USB-флеш-накопители,Все товары / Компьютерная техника / Накопители / USB флэш / USB-флеш-накопители
10017178,Водонагреватель OASIS GAS 10L/MIN GLASS 20 BG (N),70371234,Водонагреватели накопительные,Все товары / Бытовая техника / Климатическая техника / Водонагреватели / Водонагреватели накопительные
10017181,Водонагреватель Oasis Glass 24 BG (N),70371234,Водонагреватели накопительные,Все товары / Бытовая техника / Климатическая техника / Водонагреватели / Водонагреватели накопительные
10017411,"Телевизор HARPER 32"" 32R720T Frameless",90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10017456,"Измельчитель Endever Sigma-60, белый",90601,Кухонные комбайны и измельчители,Все товары / Бытовая техника / Мелкая техника для кухни / Измельчение и смешивание / Кухонные комбайны и измельчители
10017458,"Измельчитель Endever Sigma-61, розовый",90601,Кухонные комбайны и измельчители,Все товары / Бытовая техника / Мелкая техника для кухни / Измельчение и смешивание / Кухонные комбайны и измельчители
10017557,Холодильник Liebherr KBef 3730 нержавеющая сталь (однокамерный),70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10017608,Чайник Kitfort КТ-6102-1 черный с серебром,70239164,Чайники электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление напитков / Электрочайники и термопоты / Чайники электрические
10017690,Холодильник Atlant 4624-161,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10017783,Мясорубка Galaxy GL 2414 с соковыжималкой,90588,Мясорубки электрические,Все товары / Бытовая техника / Мелкая техника для кухни / Измельчение и смешивание / Мясорубки
10018241,Мини печь ARTEL MD 4218 E черная- inox,997520,Мини-печи,Все товары / Бытовая техника / Мелкая техника для кухни / Приготовление блюд / Мини-печи
10018338,Измельчитель Endever Sigma-63,90601,Кухонные комбайны и измельчители,Все товары / Бытовая техника / Мелкая техника для кухни / Измельчение и смешивание / Кухонные комбайны и измельчители
10018400,Кресло для геймеров Canyon Vigil CND-SGCH2 черно-оранжевое,10785222,Компьютерные кресла,Все товары / Товары для дома / Мебель / Столы и стулья / Компьютерные кресла
10018405,"Универсальный адаптер Buro BUM-1129М120, 12V-20V, 110-240В ~3A/50-60Гц, USB: 5B/2A",91039,Блоки питания для ноутбуков и планшетов,Все товары / Компьютерная техника / Аксессуары / Аксессуары и запчасти для ноутбуков / Блоки питания
10018420,Клавиатура-тачпад PRESTIGIO Click&Touch,14334315,Клавиатуры,Все товары / Компьютерная техника / Периферийные устройства / Клавиатуры
10018519,Холодильник Beko RCNK321E20BW,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10018930,Конференц-стул Chairman 659 черный матовый (искусственная кожа/темный орех),61276996,Стулья,"Все товары / Товары для дома / Мебель / Столы и стулья / Стулья, табуретки / Стулья"
10019959,"Телевизор SKYLINE 50UST5970 Frameless  AOSP 9.0; 1,5Gb RAM + 8Gb ROM",90639,Телевизоры,Все товары / Электроника / Аудио- и видеотехника / Телевизоры
10020144,Жесткий диск SATA 14TB 6GB/S 512MB RED PRO WD141KFGX WDC,91033,Внутренние жесткие диски,Все товары / Компьютерная техника / Комплектующие / Внутренние жесткие диски
10020389,Мышь DEFENDER USB OPTICAL WRL MM-755 BLUE 52755,70422560,Мыши компьютерные,Все товары / Компьютерная техника / Периферийные устройства / Мыши / Мыши компьютерные
10020517,"Блок питания для Raspberry Pi 4 Model B, Black, 5.1V, 3A, Cable 1.5 m, USB Type С output jack (187-3417)(187-3425)",16238072,Комплектующие и аксессуары для робототехники,Все товары / Детские товары / Игрушки и игры / Для мальчиков / Комплектующие и аксессуары для робототехники
10020672,"Блок питания 450W Exegate AAA450, ATX, 8cm fan, 24p+4p, 2*SATA, 1*IDE",857707,Блоки питания для компьютеров,Все товары / Компьютерная техника / Комплектующие / Блоки питания
10020817,"Сумка-холодильник BIOSTAL TC-15G КЕМПИНГ цвет ЗЕЛЕНАЯ ТАЙГА, 15л",65113390,Термосумки,Все товары / Спорт и отдых / Туризм и отдых на природе / Сумки-холодильники / Термосумки
10023804,"Лодка ПВХ ""Компакт-300Р"" гребная (цвет серый) (с транцем)",91521,Лодки,"Все товары / Спорт и отдых / Водный спорт / Лодки, байдарки и комплектующие / Лодки"
10023848,Холодильник Indesit RTM 16 S,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10023863,Холодильник NORDFROST NR 404 W,70043744,Холодильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Холодильники / Холодильники отдельно стоящие"
10023949,Морозильная камера Бирюса 680 FKDQ,15450084,Морозильники отдельно стоящие,"Все товары / Бытовая техника / Крупная техника для кухни / Холодильники, морозильники, винные шкафы / Морозильники"
10024334,"Спиннинг шт. SIWEIDA ""EXTREMA"" 2,1м карбон IM8 (2-8г)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024361,"Спиннинг шт. SIWEIDA ""WISDOM"" 1,8м карбон IM9 (2-10г)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024391,"Спиннинг ""Медведь"" 2.40м (40-90г)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024475,"Удилище тел. SIWEIDA ""ELITE"" 5м б/к карбон IM10",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024479,"Удилище тел. SIWEIDA ""Freestyle"" 4м б/к карбон IM8 (мет пр.)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024494,"Удилище тел. SIWEIDA ""Mistral"" 4,0м с/к  карбон IM9 (мет пр.)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024523,"Удилище тел. SIWEIDA ""TAIFUN"" 5,4м б/к карбон IM8 (укороченное, 100см)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024531,"Удилище тел. SWD ""Poseidon"" 5м c/к карбон IM7 (кольца TIA)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024672,"Удилище фидер. SIWEIDA ""SUPERION"" 3,3/3,6/3,9м карбон IM7 (3+3сек+3хл, до 90г)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024676,"Удилище фидер. SIWEIDA ""Basic III"" 3,9м композит (3сек+3хл, до 120г)",65001644,Удилища,Все товары / Спорт и отдых / Охота и рыбалка / Удилища / Удилища
10024891,Катушка безынерц. RYOBI Fokamo 2000Vi 4+1bb з/шп,65323790,Катушки рыболовные,Все товары / Спорт и отдых / Охота и рыбалка / Рыболовные принадлежности / Катушки / Катушки рыболовные
